id;reduction;rare;shuffle;ngrams
1;lemma;True;True;manual
2;lemma;True;False;manual
3;lemma;True;True;training
4;lemma;True;False;training
5;lemma;False;True;manual
6;lemma;False;False;manual
7;lemma;False;True;training
8;lemma;False;False;training
