id;reduction;rare;shuffle;ngrams;vectorSize;window;minCount;trainAlgorithm;methodSampl
101;lemma;True;True;training;300;2;5;CBOW;softmax
102;lemma;True;True;training;300;2;5;skipgram;softmax
103;lemma;True;True;training;300;2;5;CBOW;negSampl
104;lemma;True;True;training;300;2;5;skipgram;negSampl
105;lemma;True;True;training;300;2;20;CBOW;softmax
106;lemma;True;True;training;300;2;20;skipgram;softmax
107;lemma;True;True;training;300;2;20;CBOW;negSampl
108;lemma;True;True;training;300;2;20;skipgram;negSampl
109;lemma;True;True;training;300;2;50;CBOW;softmax
110;lemma;True;True;training;300;2;50;skipgram;softmax
111;lemma;True;True;training;300;2;50;CBOW;negSampl
112;lemma;True;True;training;300;2;50;skipgram;negSampl
113;lemma;True;True;training;300;5;0;CBOW;softmax
114;lemma;True;True;training;300;5;0;skipgram;softmax
115;lemma;True;True;training;300;5;0;CBOW;negSampl
116;lemma;True;True;training;300;5;0;skipgram;negSampl
117;lemma;True;True;training;300;5;5;CBOW;softmax
118;lemma;True;True;training;300;5;5;skipgram;softmax
119;lemma;True;True;training;300;5;5;CBOW;negSampl
120;lemma;True;True;training;300;5;5;skipgram;negSampl
121;lemma;True;True;training;300;5;20;CBOW;softmax
122;lemma;True;True;training;300;5;20;skipgram;softmax
123;lemma;True;True;training;300;5;20;CBOW;negSampl
124;lemma;True;True;training;300;5;20;skipgram;negSampl
125;lemma;True;True;training;300;5;50;CBOW;softmax
126;lemma;True;True;training;300;5;50;skipgram;softmax
127;lemma;True;True;training;300;5;50;CBOW;negSampl
128;lemma;True;True;training;300;5;50;skipgram;negSampl
129;lemma;True;True;training;300;10;0;CBOW;softmax
130;lemma;True;True;training;300;10;0;skipgram;softmax
131;lemma;True;True;training;300;10;0;CBOW;negSampl
132;lemma;True;True;training;300;10;0;skipgram;negSampl
133;lemma;True;True;training;300;10;5;CBOW;softmax
134;lemma;True;True;training;300;10;5;skipgram;softmax
135;lemma;True;True;training;300;10;5;CBOW;negSampl
136;lemma;True;True;training;300;10;5;skipgram;negSampl
137;lemma;True;True;training;300;10;20;CBOW;softmax
138;lemma;True;True;training;300;10;20;skipgram;softmax
139;lemma;True;True;training;300;10;20;CBOW;negSampl
140;lemma;True;True;training;300;10;20;skipgram;negSampl
141;lemma;True;True;training;300;10;50;CBOW;softmax
142;lemma;True;True;training;300;10;50;skipgram;softmax
143;lemma;True;True;training;300;10;50;CBOW;negSampl
144;lemma;True;True;training;300;10;50;skipgram;negSampl
145;lemma;True;True;training;500;2;0;CBOW;softmax
146;lemma;True;True;training;500;2;0;skipgram;softmax
147;lemma;True;True;training;500;2;0;CBOW;negSampl
148;lemma;True;True;training;500;2;0;skipgram;negSampl
149;lemma;True;True;training;500;2;5;CBOW;softmax
150;lemma;True;True;training;500;2;5;skipgram;softmax
151;lemma;True;True;training;500;2;5;CBOW;negSampl
152;lemma;True;True;training;500;2;5;skipgram;negSampl
153;lemma;True;True;training;500;2;20;CBOW;softmax
154;lemma;True;True;training;500;2;20;skipgram;softmax
155;lemma;True;True;training;500;2;20;CBOW;negSampl
156;lemma;True;True;training;500;2;20;skipgram;negSampl
157;lemma;True;True;training;500;2;50;CBOW;softmax
158;lemma;True;True;training;500;2;50;skipgram;softmax
159;lemma;True;True;training;500;2;50;CBOW;negSampl
160;lemma;True;True;training;500;2;50;skipgram;negSampl
161;lemma;True;True;training;500;5;0;CBOW;softmax
162;lemma;True;True;training;500;5;0;skipgram;softmax
163;lemma;True;True;training;500;5;0;CBOW;negSampl
164;lemma;True;True;training;500;5;0;skipgram;negSampl
165;lemma;True;True;training;500;5;5;CBOW;softmax
166;lemma;True;True;training;500;5;5;skipgram;softmax
167;lemma;True;True;training;500;5;5;CBOW;negSampl
168;lemma;True;True;training;500;5;5;skipgram;negSampl
169;lemma;True;True;training;500;5;20;CBOW;softmax
170;lemma;True;True;training;500;5;20;skipgram;softmax
171;lemma;True;True;training;500;5;20;CBOW;negSampl
172;lemma;True;True;training;500;5;20;skipgram;negSampl
173;lemma;True;True;training;500;5;50;CBOW;softmax
174;lemma;True;True;training;500;5;50;skipgram;softmax
175;lemma;True;True;training;500;5;50;CBOW;negSampl
176;lemma;True;True;training;500;5;50;skipgram;negSampl
177;lemma;True;True;training;500;10;0;CBOW;softmax
178;lemma;True;True;training;500;10;0;skipgram;softmax
179;lemma;True;True;training;500;10;0;CBOW;negSampl
180;lemma;True;True;training;500;10;0;skipgram;negSampl
181;lemma;True;True;training;500;10;5;CBOW;softmax
182;lemma;True;True;training;500;10;5;skipgram;softmax
183;lemma;True;True;training;500;10;5;CBOW;negSampl
184;lemma;True;True;training;500;10;5;skipgram;negSampl
185;lemma;True;True;training;500;10;20;CBOW;softmax
186;lemma;True;True;training;500;10;20;skipgram;softmax
187;lemma;True;True;training;500;10;20;CBOW;negSampl
188;lemma;True;True;training;500;10;20;skipgram;negSampl
189;lemma;True;True;training;500;10;50;CBOW;softmax
190;lemma;True;True;training;500;10;50;skipgram;softmax
191;lemma;True;True;training;500;10;50;CBOW;negSampl
192;lemma;True;True;training;500;10;50;skipgram;negSampl
