id;aggregation;cosistencyCheck;scoreType;countPairs;evalScore
110;majorityWeighted;True;accuracy score;638;0.7225705329153606
111;majorityWeighted;True;accuracy score;638;0.4341692789968652
112;majorityWeighted;True;accuracy score;638;0.48746081504702193
113;majorityWeighted;True;accuracy score;638;0.6865203761755486
114;majorityWeighted;True;accuracy score;638;0.7413793103448276
115;majorityWeighted;True;accuracy score;638;0.4106583072100313
116;majorityWeighted;True;accuracy score;638;0.5564263322884012
117;majorityWeighted;True;accuracy score;638;0.6724137931034483
118;majorityWeighted;True;accuracy score;638;0.7413793103448276
119;majorityWeighted;True;accuracy score;638;0.41849529780564265
120;majorityWeighted;True;accuracy score;638;0.5470219435736677
121;majorityWeighted;True;accuracy score;638;0.6802507836990596
122;majorityWeighted;True;accuracy score;638;0.7413793103448276
123;majorityWeighted;True;accuracy score;638;0.4200626959247649
124;majorityWeighted;True;accuracy score;638;0.5626959247648903
125;majorityWeighted;True;accuracy score;638;0.6865203761755486
126;majorityWeighted;True;accuracy score;638;0.7398119122257053
127;majorityWeighted;True;accuracy score;638;0.44043887147335425
128;majorityWeighted;True;accuracy score;638;0.5783699059561128
129;majorityWeighted;True;accuracy score;638;0.7053291536050157
130;majorityWeighted;True;accuracy score;638;0.7648902821316614
131;majorityWeighted;True;accuracy score;638;0.47335423197492166
132;majorityWeighted;True;accuracy score;638;0.6269592476489029
133;majorityWeighted;True;accuracy score;638;0.7147335423197492
134;majorityWeighted;True;accuracy score;638;0.7601880877742947
135;majorityWeighted;True;accuracy score;638;0.47335423197492166
136;majorityWeighted;True;accuracy score;638;0.6159874608150471
137;majorityWeighted;True;accuracy score;638;0.6959247648902821
138;majorityWeighted;True;accuracy score;638;0.7586206896551724
139;majorityWeighted;True;accuracy score;638;0.46394984326018807
140;majorityWeighted;True;accuracy score;638;0.6175548589341693
141;majorityWeighted;True;accuracy score;638;0.7053291536050157
142;majorityWeighted;True;accuracy score;638;0.7539184952978056
143;majorityWeighted;True;accuracy score;638;0.49216300940438873
144;majorityWeighted;True;accuracy score;638;0.6253918495297806
145;majorityWeighted;True;accuracy score;638;0.6818181818181818
146;majorityWeighted;True;accuracy score;638;0.713166144200627
147;majorityWeighted;True;accuracy score;638;0.41379310344827586
148;majorityWeighted;True;accuracy score;638;0.46865203761755486
149;majorityWeighted;True;accuracy score;638;0.6802507836990596
